Date ,IPO Name ,Profile,Issue Size,QIB ,HNI ,RII ,Total ,Issue,Listing Open,Listing Close,Listing ,CMP,Current
22-12-21,Metro Brands, View,1376.63,8.49,3.02,1.13,3.64,500,436,493.55,-1.29,493.55,-1.29
21-12-21,C. E. Info Syst, View,1039.61,196.36,424.69,15.2,154.71,1033,1581,1394.55,35,"1,493.90",44.62
20-12-21,Shriram Prop, View,600,1.85,4.82,12.72,4.6,118,94,99.4,-15.76,91.35,-22.58
17-12-21,Rategain Travel, View,1354,8.42,42.04,8.08,17.41,425,364.8,340.5,-19.88,396.65,-6.67
14-12-21,Anand Rathi, View,660,2.5,25.42,7.76,9.78,550,584.45,583.5,6.09,579.55,5.37
13-12-21,Tega Industries, View,619.23,215.45,666.19,29.44,219.04,453,753,725.5,60.15,595.75,31.51
10/12/2021,Star Health, View,7318.15,1.03,0.19,1.1,0.79,900,903,906.85,0.76,799.7,-11.14
26-11-21,Tarsons Product, View,1030.22,1.06,3.4,2.49,2.27,662,700,840,26.89,595.85,-9.99
23-11-21,Latent View, View,622.11,145.48,850.66,119.44,326.49,197,530,488.6,148.02,499.55,153.58
18-11-21,Sapphire Foods, View,2073,3.11,2.34,5.25,3.29,1180,1311,1216.05,3.06,"1,220.80",3.46
18-11-21,One 97 Paytm, View,18915.9,2.79,0.24,1.66,1.89,2150,1955,1564.15,-27.25,"1,343.05",-37.53
15-11-21,PB Fintech, View,6273.5,9.83,2.58,1.67,6.48,980,1444,1202.9,22.74,980.5,0.05
15-11-21,Sigachi Ind, View,0,42.15,78.82,41.26,49.56,163,575,603.75,270.4,396.5,143.25
15-11-21,SJS Enterprises, View,816.57,1.42,2.32,1.38,1.59,542,514,509.85,-5.93,365.6,-32.55
12/11/2021,Fino Payments, View,1209,1.65,0.21,5.92,2.03,577,548,545.25,-5.5,390.65,-32.3
10/11/2021,FSN E-Co Nykaa, View,5375,91.18,112.02,12.24,81.78,1125,2001,2206.7,96.15,"2,012.40",78.88
11/10/2021,ABSL AMC, View,2768,4.1,2.6,1.68,2.43,712,697.5,699.65,-1.73,527.7,-25.88
1/10/2021,Paras Defence, View,181.13,90.48,435.14,61.42,150.07,175,475,498.75,185,704.7,302.69
24-09-21,Sansera Eng, View,1282,26.47,11.37,3.15,11.47,744,845.05,818.7,10.04,756.8,1.72
14-09-21,Vijaya Diagnost, View,1895.04,13.07,1.32,1.09,4.54,531,542.3,619.3,16.63,550,3.58
14-09-21,AMI Organics, View,571.96,86.64,154.81,13.36,64.54,610,902,934.55,53.2,874.2,43.31
6/9/2021,APTUS VALUE, View,2790,32.41,33.91,1.35,17.2,353,360,374.05,5.96,347.65,-1.52
24-08-21,CHEMPLAST SANMA, View,3929.91,2.7,1.03,2.29,2.17,541,570,534.9,-1.13,561,3.7
23-08-21,Nuvoco Vistas, View,5089.29,0.1,0.02,0.24,0.15,570,471,531.3,-6.79,502.2,-11.89
20-08-21,CarTrade Tech, View,2998,0.55,0.09,0.81,0.58,1618,1600,1500.1,-7.29,831.55,-48.61
16-08-21,Windlas Biotech, View,405.95,24.4,15.73,24.27,22.47,460,439,406.7,-11.59,265.2,-42.35
16-08-21,Krsnaa Diagnost, View,1222,49.83,116.3,42.04,64.4,954,1025,990.75,3.85,662.95,-30.51
16-08-21,Devyani Int, View,1858,95.27,213.06,39.52,116.71,90,141,123.35,37.06,174.05,93.39
16-08-21,Exxaro Tiles, View,161.09,17.67,5.36,40.1,22.68,120,126,132.25,10.21,145.75,21.46
9/8/2021,Rolex Rings, View,732.27,143.58,360.11,24.49,130.44,900,1249,1166.55,29.62,"1,134.15",26.02
6/8/2021,Glenmark Life, View,1513,0.98,0.87,4.61,2.78,720,752,748.2,3.92,609.85,-15.3
29-07-21,Tatva Chintan, View,500,2.55,9.78,13.36,9.5,1083,2111.8,2310.25,113.32,"2,534.40",134.02
23-07-21,Zomato, View,9375,51.79,32.96,7.45,38.25,76,115,125.85,65.59,138.5,82.24
19-07-21,G R Infra, View,963.28,93.18,73.01,4.89,43.48,837,1700,1746.8,108.7,"1,664.75",98.89
19-07-21,Clean Science, View,1546,156.37,206.43,9,93.41,900,1784.4,1585.2,76.13,"2,449.60",172.18
7/7/2021,India Pesticide, View,800,2.64,1.36,4.4,3.25,296,360,335.45,13.33,304.35,2.82
5/7/2021,Krishna Inst., View,2146,5.26,1.89,2.9,3.86,825,1009,1096.8,32.95,"1,331.00",61.33
28-06-21,Dodla Dairy, View,521,84.88,73.26,11.34,45.62,428,550,609.1,42.31,545.45,27.44
24-06-21,Shyam Metalics, View,909,62.18,172.51,5.29,56.56,306,380,375.85,22.83,316.35,3.38
24-06-21,Sona BLW, View,5550,1.57,0.22,0.66,1.04,291,302.4,362.85,24.69,696.15,139.23
14-05-21,PowerGrid InvIT, View,7734.99,0,0,0,0,100,104,102.98,2.98,119.3,19.3
19-04-21,Macrotech Dev, View,2500,3.05,1.44,0.4,1.36,486,439,463.15,-4.7,"1,212.65",149.52
7/4/2021,Barbeque Nat, View,453.6,0,0,0,0,500,492,590.4,18.08,"1,286.00",157.2
30-03-21,Nazara, View,582.91,52.82,148.42,34.49,75.04,1101,1971,1576.8,43.22,"2,229.50",102.5
26-03-21,Kalyan Jeweller, View,1175,1.18,0.97,1.47,1.28,87,73.9,75.3,-13.45,67.9,-21.95
26-03-21,Suryoday Small, View,582.34,2.18,1.31,3.09,2.37,305,274.75,276.2,-9.44,147.75,-51.56
25-03-21,Craftsman, View,823.7,0.56,0.05,1.04,0.69,1490,1440,1433,-3.83,"2,176.05",46.04
25-03-21,Laxmi Organic, View,600,1.13,0.73,4.41,2.68,130,173,164.6,26.62,402.45,209.58
24-03-21,Anupam Rasayan, View,760,30.8,62.06,4.62,23.86,555,534.7,525.9,-5.24,867.75,56.35
19-03-21,Easy Trip, View,510,0,2.79,14.48,3.39,187,182,208.3,11.39,530,183.42
15-03-21,MTAR Tech, View,596.41,52.01,522.35,12.78,133.18,575,990.05,1082.25,88.22,"2,296.55",299.4
5/3/2021,Heranba, View,60,25.98,108.72,4.82,33.13,627,900,812.25,29.55,641,2.23
26-02-21,Railtel, View,819.24,22.03,51.4,7.08,20.68,94,109,121.4,29.15,116,23.4
25-02-21,Nureca, View,100,0.24,17.1,74.29,17.98,400,634.95,666.65,66.66,"1,411.25",252.81
5/2/2021,Stove Kraft, View,412.63,8.02,32.72,26.04,18.03,385,498,445.95,15.83,949.5,146.62
3/2/2021,Home First, View,1153.72,52.53,39,6.59,26.66,518,612.15,527.4,1.81,819.25,58.16
2/2/2021,Indigo Paints, View,1170.56,96.21,115.76,6.5,54.84,1490,2607.5,3118.65,109.31,"1,932.40",29.69
29-01-21,IRFC, View,4633,0.89,0.52,1.59,1.16,26,25,24.85,-4.42,22.6,-13.08
1/1/2021,Antony Waste, View,300.53,0.64,0.28,7.22,3.85,315,430,407.25,29.29,291.1,-7.59
24-12-20,Bectors Food, View,540.54,176.85,620.86,29.33,198.02,288,501,595.55,106.79,376.5,30.73
14-12-20,Burger King, View,796.5,86.64,354.11,68.15,156.65,60,115.35,138.4,130.67,143.1,138.5
